Country,Population,Area (sq. km),Pixel count,Rad. Sum,Rad. / 1000 pop.,Pop. / sq. km,Rad. Mean,Rad. Max
Japan,"127,143,577","762,590.30","4,416,825","3,851,383",30.3,167,0.872,958.6
Jersey,"99,500","2,404.90","17,059","4,193",42.1,41,0.246,50.817
Jordan,"7,273,799","89,143.10","486,258","343,659",47.2,82,0.707,240.071
Kazakhstan,"16,440,586","2,751,305.60","19,176,002","8,033,188",488.6,6,0.419,"49,640.52"
Kenya,"44,353,691","595,242.00","2,787,554","775,777",17.5,75,0.278,248.677
Kiribati,"102,351","76,827.20","360,207","16,831",164.4,1,0.047,3.633
Kuwait,"3,368,572","24,748.90","132,346","805,960",239.3,136,6.09,"7,333.09"
Kyrgyzstan,"5,547,548","198,632.80","1,233,225","434,215",78.3,28,0.352,104.193
Laos,"6,769,727","229,731.80","1,132,801","144,114",21.3,29,0.127,189.845
Latvia,"2,050,317","76,660.20","651,138","341,106",166.4,27,0.524,288.921
Lebanon,"4,821,971","14,837.10","83,331","189,294",39.3,325,2.272,225.119
Lesotho,"2,074,465","30,548.60","163,853","25,740",12.4,68,0.157,48.276
Liberia,"4,294,077","108,550.20","511,067","140,922",32.8,40,0.276,41.678
Libya,"6,201,521","1,725,328.80","9,081,126","2,572,009",414.7,4,0.283,"7,284.38"
Liechtenstein,"36,925",160.5,"1,100","2,009",54.4,230,1.827,25.664
Lithuania,"3,016,933","67,149.90","547,681","347,771",115.3,45,0.635,187.549
Luxemburg,"576,200","2,600.00","18,698","79,675",138.3,222,4.261,130.605
Macedonia,"2,107,158","25,465.10","158,425","103,922",49.3,83,0.656,335.692
Madagascar,"22,924,851","716,425.90","3,550,500","374,304",16.3,32,0.105,133.657
Malawi,"16,362,567","118,595.80","569,995","89,095",5.4,138,0.156,33.46
Malaysia,"29,716,965","431,990.80","2,026,687","1,535,985",51.7,69,0.758,"4,931.98"
Maldives,"345,023","114,578.90","537,431","110,099",319.1,3,0.205,33.789
Mali,"15,301,650","1,252,492.70","6,144,111","895,884",58.5,12,0.146,577.903
Malta,"429,004","4,276.50","24,615","34,043",79.4,100,1.383,163.267
Marshall Islands,"52,634","113,559.70","538,286","49,899",948,0,0.093,15.581
Mauritania,"3,889,880","1,053,650.80","5,253,329","749,645",192.7,4,0.143,201.978
Mauritius,"1,244,403","19,902.60","97,891","25,459",20.5,63,0.26,104.452
Mexico,"122,332,399","2,251,111.80","11,538,499","6,407,917",52.4,54,0.555,"11,333.47"
Moldova,"3,487,204","33,849.80","231,497","87,543",25.1,103,0.378,236.505
Monaco,"37,831",81.4,522,"2,596",68.6,465,4.974,208.848
Mongolia,"2,839,073","1,565,236.30","10,638,984","2,482,482",874.4,2,0.233,107.327
Montenegro,"621,383","15,866.70","100,416","64,115",103.2,39,0.638,88.441
Montserrat,"5,091","2,247.20","10,963",640,125.7,2,0.058,3.435
Morocco,"33,008,150","746,956.60","4,000,044","1,209,983",36.7,44,0.302,307.646
Mozambique,"25,833,752","856,080.60","4,203,074","504,573",19.5,30,0.12,146.252
Myanmar,"53,259,018","771,113.00","3,850,372","855,475",16.1,69,0.222,225.445
Namibia,"2,303,315","856,973.70","4,328,812","394,137",171.1,3,0.091,125.394
Nauru,"10,051","1,953.40","9,151",582,57.9,5,0.064,13.164
Nepal,"27,797,457","147,565.90","781,735","145,054",5.2,188,0.186,25.137
New Zealand *,"4,505,761","449,679.90","2,808,059","527,045",117,10,0.188,408.083
Nicaragua,"6,080,478","141,850.90","680,458","143,344",23.6,43,0.211,373.655
Niger,"17,831,270","1,180,909.00","5,791,250","615,621",34.5,15,0.106,"3,571.10"
Nigeria,"173,615,345","927,783.20","4,403,981","1,619,052",9.3,187,0.368,"11,288.99"
Niue,"1,344","3,187.50","15,765",476,354.1,0,0.03,1.048
North Korea,"24,895,480","150,501.80","915,250","120,759",4.9,165,0.132,142.933
Norway *,"5,042,671","627,472.90","5,304,966","1,581,898",313.7,8,0.298,"1,135.66"
Oman,"3,632,444","361,035.60","1,803,577","1,217,272",335.1,10,0.675,"9,486.83"
Pakistan,"182,142,594","891,973.30","4,804,729","1,883,646",10.3,204,0.392,"3,754.66"
Palau,"20,918","3,908.90","18,393","1,179",56.4,5,0.064,18.9
Palestine,"4,326,295","6,973.10","38,279","170,522",39.4,620,4.455,147.641
Panama,"3,864,170","132,164.80","625,110","200,836",52,29,0.321,766.207
Papua New Guinea,"7,321,262","1,185,376.60","5,579,447","203,898",27.9,6,0.037,65.17
Paraguay,"6,802,295","399,544.50","2,031,783","445,597",65.5,17,0.219,"1,173.72"
Peru,"30,375,603","2,141,541.20","10,213,070","1,822,400",60,14,0.178,809.822
Philippines,"98,393,574","1,008,019.50","4,810,074","876,704",8.9,98,0.182,238.774
Pitcairn Islands,56,714.8,"3,671",682,"12,173.10",0,0.186,0.429
Poland,"38,216,635","322,760.40","2,444,965","4,568,793",119.5,118,1.869,"1,927.24"
Portugal,"10,608,156","165,258.60","985,381","1,256,444",118.4,64,1.275,204.142
Qatar,"2,168,673","22,716.50","117,368","885,362",408.3,95,7.543,"11,286.71"
Republic of China,"23,329,772","88,451.40","450,704","811,826",34.8,264,1.801,181.665
Republic of Kosovo,"1,884,000","10,905.30","68,862","53,127",28.2,173,0.772,74.133
Romania,"21,698,585","243,658.30","1,624,832","1,050,744",48.4,89,0.647,320.666
Russian Federation *,"142,833,689","18,310,431.20","176,128,599","59,394,018",415.8,8,0.337,"24,836.18"
Rwanda,"11,776,522","25,273.70","118,337","36,149",3.1,466,0.305,99.046
Sahrawi Arab Democratic Republic,"513,000","79,524.40","407,247","47,044",91.7,6,0.116,5.374
"Saint Helena, Ascension and Tristan da Cunha","4,255","12,518.10","68,328","4,239",996.3,0,0.062,10.912
Saint Kitts and Nevis,"54,191","3,596.40","17,603","4,424",81.6,15,0.251,35.06
Saint Lucia,"182,273","4,418.20","21,277","8,292",45.5,41,0.39,41.236
Saint Vincent and the Grenadines,"109,373","6,500.30","31,203","3,707",33.9,17,0.119,28.21
Samoa,"190,372","12,891.40","62,053","3,348",17.6,15,0.054,9.341
San Marino,"31,448",61.1,390,"3,897",123.9,515,9.992,70.42
São Tomé and Príncipe,"192,993","16,487.00","77,171","22,779",118,12,0.295,14.677
Saudi Arabia,"28,828,870","2,048,615.40","10,493,424","7,987,124",277.1,14,0.761,"9,380.06"
Senegal,"14,133,280","209,182.20","1,009,782","230,879",16.3,68,0.229,556.224
Serbia,"9,510,506","77,606.40","503,628","582,062",61.2,123,1.156,305.588
Seychelles,"92,838","53,540.20","252,639","41,245",444.3,2,0.163,30.8
Sierra Leone,"6,092,075","83,542.20","395,063","85,653",14.1,73,0.217,212.048
Singapore,"5,411,737","1,660.70","7,771","184,684",34.1,"3,259",23.766,508.23
Slovakia,"5,450,223","49,025.10","345,030","289,697",53.2,111,0.84,239.877
Slovenia,"2,071,997","20,465.90","137,180","126,174",60.9,101,0.92,286.04
Solomon Islands,"561,231","243,025.00","1,151,870","28,066",50,2,0.024,20.912
Somalia,"10,495,583","702,042.10","3,310,168","852,815",81.3,15,0.258,31.958
South Africa,"52,776,130","1,291,624.90","6,917,228","2,470,765",46.8,41,0.357,"3,673.52"
South Georgia and South Sandwich Islands,30,"35,864.10","298,544","25,548","851,612.70",0,0.086,1.036
South Korea,"49,262,698","187,490.50","1,079,019","2,188,681",44.4,263,2.028,310.349
South Sudan,"11,296,173","652,906.10","3,081,847","648,669",57.4,17,0.21,"3,406.69"
Spain,"46,926,963","627,177.80","3,795,560","4,806,561",102.4,75,1.266,873.756
Sri Lanka,"21,273,228","97,617.70","460,992","147,003",6.9,218,0.319,162.261
Sudan,"37,964,306","1,878,267.50","9,153,141","1,018,341",26.8,20,0.111,"2,021.75"
Suriname,"539,276","153,523.50","720,461","319,548",592.5,4,0.444,88.454
Swaziland,"1,249,514","17,363.20","90,623","31,575",25.3,72,0.348,54.555
Sweden *,"9,571,105","533,366.60","5,333,127","2,536,719",265,18,0.476,541.228
Switzerland,"8,077,833","41,280.70","280,173","337,072",41.7,196,1.203,101.31
Syria,"21,898,061","190,454.90","1,083,867","505,559",23.1,115,0.466,"2,284.16"
Tajikistan,"8,207,834","141,212.90","840,407","338,383",41.2,58,0.403,721.244
Tanzania,"49,253,126","983,898.60","4,636,397","623,560",12.7,50,0.134,135.956
Thailand,"67,010,502","624,696.20","3,018,244","2,002,728",29.9,107,0.664,432.499
The Bahamas,"377,374","301,746.00","1,541,162","101,465",268.9,1,0.066,114.415
The Gambia,"1,849,285","12,980.40","62,452","17,467",9.4,142,0.28,50.548
The Netherlands,"17,010,800","64,537.80","447,329","2,010,827",118.2,264,4.495,"15,918.96"
Togo,"6,816,982","57,968.60","274,275","52,131",7.6,118,0.19,126.786
Tokelau,"1,195","6,936.70","32,863","1,751","1,465.20",0,0.053,1.171
Tonga,"105,323","38,879.70","193,325","9,594",91.1,3,0.05,13.603
Trinidad and Tobago,"1,341,151","21,673.50","103,179","210,631",157.1,62,2.041,"3,795.95"
Tunisia,"10,996,515","189,248.70","1,069,029","556,298",50.6,58,0.52,"1,911.44"
Turkey,"74,932,641","859,471.30","5,156,494","4,271,486",57,87,0.828,260.743
Turkmenistan,"5,240,072","498,885.90","2,997,823","1,482,700",283,11,0.495,"18,170.29"
Turks and Caicos Islands,"33,098","17,245.20","86,603","7,469",225.6,2,0.086,28.433
Tuvalu,"9,876","27,357.50","129,173","7,083",717.2,0,0.055,5.581
Uganda,"37,578,876","241,510.60","1,130,466","259,152",6.9,156,0.229,169.325
Ukraine,"45,238,805","640,067.50","4,516,234","2,442,092",54,71,0.541,"9,672.73"
United Arab Emirates,"9,346,129","103,814.60","531,409","1,707,200",182.7,90,3.213,"3,311.67"
United Kingdom,"65,097,000","404,840.90","3,255,273","4,572,540",70.2,161,1.405,844.485
United States of America *,"320,050,716","10,366,104.10","70,936,543","60,630,852",189.4,31,0.855,"4,490.69"
Uruguay,"3,407,062","201,046.00","1,118,140","274,423",80.5,17,0.245,325.217
Uzbekistan,"28,934,102","447,902.10","2,795,159","1,258,192",43.5,65,0.45,"3,034.71"
Vanuatu,"252,763","126,677.10","617,090","24,260",96,2,0.039,181.514
Vatican City,799,0.5,2,172,215,"1,614",85.891,92.58
Venezuela,"30,405,207","1,022,688.30","4,831,326","5,753,456",189.2,30,1.191,"138,718.95"
Vietnam,"91,679,733","486,799.50","2,367,086","1,788,197",19.5,188,0.755,"2,678.24"
Yemen,"24,407,381","522,927.90","2,539,756","767,118",31.4,47,0.302,"17,742.14"
Zambia,"14,538,640","750,509.80","3,611,180","511,473",35.2,19,0.142,147.87
Zimbabwe,"14,149,648","390,597.50","1,931,122","248,999",17.6,36,0.129,52.374
